,Grade,number_of_holds,downwards_count,only_upwards_count,only_sideways_count,yellow_count,black_count,white_count,downwards_percent,black_percent,white_percent,yellow_percent,b_w_percent,only_upwards_percent,mean_distance_of_holds,last_move_diff,first_move_diff
3,8A,8,7,1,0,2,3,3,0.875,0.375,0.375,0.25,0.75,0.125,8.163432767218762,3.345859453076559,2.4655318826221584
4,8A,8,7,1,0,8,0,0,0.875,0.0,0.0,1.0,0.0,0.125,7.28281846170629,316.79630067547004,124.81757900637987
5,8A,6,6,0,0,1,2,3,1.0,0.3333333333333333,0.5,0.1666666666666666,0.8333333333333334,0.0,7.28756886446885,5.333599173386216,1.994578891174292
6,8A,8,7,1,0,4,3,1,0.875,0.375,0.125,0.5,0.5,0.125,8.13143267607644,21.96663532649149,60.21925951117511
7,8A,5,5,0,0,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0,6.821634944049736,2478.7946202274425,48.41385470611246
8,8A,7,6,1,0,2,1,4,0.8571428571428571,0.1428571428571428,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.1428571428571428,8.504190198274681,8.532445015940711,5.123530269790017
9,8A,5,5,0,0,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0,7.100718280628018,478.44070492099456,260.1929555733861
10,8A,5,5,0,0,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0,7.052850858473207,1059.7440565820564,23.817980820784094
11,8A,6,4,2,0,6,0,0,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,7.957158980584574,3326.11714790659,286.86162891418536
12,8A,5,5,0,0,1,4,0,1.0,0.8,0.0,0.2,0.8,0.0,7.894491088355733,7.899708922486468,1.5359230231331509
13,8A,5,5,0,0,3,2,0,1.0,0.4,0.0,0.6,0.4,0.0,8.249332145732907,7.063193932672768,23.817980820784094
14,7C+,6,6,0,0,0,0,6,1.0,0.0,1.0,0.0,1.0,0.0,7.81596361097922,0.9706693244884584,1.203712240084663
15,7C+,5,5,0,0,0,0,5,1.0,0.0,1.0,0.0,1.0,0.0,7.924836966584434,1.2430424529252613,2.2972218505735453
16,7C+,6,6,0,0,1,3,2,1.0,0.5,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.0,7.477529639119578,1.4801980080367554,2.5112340324945475
