,Name,Grade,Moves,Holdsets,Id
0,BLACK BEAUTY,8B,"[{'Id': 1542554, 'Description': 'J5', 'IsStart': True, 'IsEnd': False}, {'Id': 1542555, 'Description': 'I9', 'IsStart': False, 'IsEnd': False}, {'Id': 1542556, 'Description': 'E14', 'IsStart': False, 'IsEnd': False}, {'Id': 1542557, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",82224
1,PROJECT 2,8A+,"[{'Id': 1535606, 'Description': 'K6', 'IsStart': True, 'IsEnd': False}, {'Id': 1535607, 'Description': 'K7', 'IsStart': False, 'IsEnd': False}, {'Id': 1535608, 'Description': 'D10', 'IsStart': False, 'IsEnd': False}, {'Id': 1535609, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 1535610, 'Description': 'A16', 'IsStart': False, 'IsEnd': False}, {'Id': 1535611, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",62575
2,SHATTERED MERCY,8A+,"[{'Id': 1596473, 'Description': 'D3', 'IsStart': True, 'IsEnd': False}, {'Id': 1596474, 'Description': 'B4', 'IsStart': True, 'IsEnd': False}, {'Id': 1596475, 'Description': 'G7', 'IsStart': False, 'IsEnd': False}, {'Id': 1596476, 'Description': 'I8', 'IsStart': False, 'IsEnd': False}, {'Id': 1596477, 'Description': 'K12', 'IsStart': False, 'IsEnd': False}, {'Id': 1596478, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 1596479, 'Description': 'H15', 'IsStart': False, 'IsEnd': False}, {'Id': 1596480, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",241045
3,ATTIC ADDICT,8A,"[{'Id': 1986894, 'Description': 'E6', 'IsStart': True, 'IsEnd': False}, {'Id': 1986895, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1986896, 'Description': 'J6', 'IsStart': False, 'IsEnd': False}, {'Id': 1986897, 'Description': 'F8', 'IsStart': False, 'IsEnd': False}, {'Id': 1986898, 'Description': 'J12', 'IsStart': False, 'IsEnd': False}, {'Id': 1986899, 'Description': 'F15', 'IsStart': False, 'IsEnd': False}, {'Id': 1986900, 'Description': 'F16', 'IsStart': False, 'IsEnd': False}, {'Id': 1986901, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",350783
4,BUNNY,8A,"[{'Id': 1521147, 'Description': 'B4', 'IsStart': True, 'IsEnd': False}, {'Id': 1521148, 'Description': 'G7', 'IsStart': False, 'IsEnd': False}, {'Id': 1521149, 'Description': 'H7', 'IsStart': False, 'IsEnd': False}, {'Id': 1521150, 'Description': 'K8', 'IsStart': False, 'IsEnd': False}, {'Id': 1521151, 'Description': 'K10', 'IsStart': False, 'IsEnd': False}, {'Id': 1521152, 'Description': 'K13', 'IsStart': False, 'IsEnd': False}, {'Id': 1521153, 'Description': 'G16', 'IsStart': False, 'IsEnd': False}, {'Id': 1521154, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",23184
5,DANK ENERGY,8A,"[{'Id': 1656077, 'Description': 'I4', 'IsStart': True, 'IsEnd': False}, {'Id': 1656078, 'Description': 'E7', 'IsStart': False, 'IsEnd': False}, {'Id': 1656079, 'Description': 'F12', 'IsStart': False, 'IsEnd': False}, {'Id': 1656080, 'Description': 'D13', 'IsStart': False, 'IsEnd': False}, {'Id': 1656081, 'Description': 'I15', 'IsStart': False, 'IsEnd': False}, {'Id': 1656082, 'Description': 'I18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",309814
6,GNIBMILC,8A,"[{'Id': 2148348, 'Description': 'D3', 'IsStart': True, 'IsEnd': False}, {'Id': 2148349, 'Description': 'E6', 'IsStart': True, 'IsEnd': False}, {'Id': 2148350, 'Description': 'I8', 'IsStart': False, 'IsEnd': False}, {'Id': 2148351, 'Description': 'G14', 'IsStart': False, 'IsEnd': False}, {'Id': 2148352, 'Description': 'G16', 'IsStart': False, 'IsEnd': False}, {'Id': 2148353, 'Description': 'A16', 'IsStart': False, 'IsEnd': False}, {'Id': 2148354, 'Description': 'A12', 'IsStart': False, 'IsEnd': False}, {'Id': 2148355, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",371579
7,I BURNT OFF MEGOS,8A,"[{'Id': 1844685, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}, {'Id': 1844686, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1844687, 'Description': 'F15', 'IsStart': False, 'IsEnd': False}, {'Id': 1844688, 'Description': 'F9', 'IsStart': False, 'IsEnd': False}, {'Id': 1844689, 'Description': 'H9', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",62560
8,KAWASCHUWU,8A,"[{'Id': 1857955, 'Description': 'E16', 'IsStart': False, 'IsEnd': False}, {'Id': 1857956, 'Description': 'F10', 'IsStart': False, 'IsEnd': False}, {'Id': 1857957, 'Description': 'F6', 'IsStart': False, 'IsEnd': False}, {'Id': 1857958, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1857959, 'Description': 'K5', 'IsStart': True, 'IsEnd': False}, {'Id': 1857960, 'Description': 'K12', 'IsStart': False, 'IsEnd': False}, {'Id': 1857961, 'Description': 'K18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",62275
9,ONE MOVE WONDER,8A,"[{'Id': 1524277, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1524278, 'Description': 'F6', 'IsStart': True, 'IsEnd': False}, {'Id': 1524279, 'Description': 'G11', 'IsStart': False, 'IsEnd': False}, {'Id': 1524280, 'Description': 'H15', 'IsStart': False, 'IsEnd': False}, {'Id': 1524281, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",30609
